Oct 12 19:08:07.108 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][ThriftExtension] (5) Error occurred while contacting server: Could not refill buffer. This could be because you are trying to establish a non-SSL connection to a SSL-enabled server.
Oct 12 19:08:25.664 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:09:30.621 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:09:43.372 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:09:51.708 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:23.775 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:36.270 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:43.409 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:11:51.707 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][Hardy] (76) Error connecting to ZooKeeper. Please ensure the ZooKeeper host(s) and other connection information are configured correctly.
Oct 12 19:19:58.026 ERROR 1112 DSTestResultDialog::Initialize: [Hortonworks][ThriftExtension] (5) Error occurred while contacting server: Could not refill buffer. This could be because you are trying to establish a non-SSL connection to a SSL-enabled server.
Oct 12 21:53:42.731 INFO  15548 EnvironmentAttributes::SetAttribute: Setting ODBC version to: 3
Oct 12 21:53:42.731 INFO  15548 CInterface::SQLAllocHandle: Allocating connection handle.
Oct 12 21:54:03.740 INFO  15548 CInterface::SQLFreeHandle: Freeing connection handle.
Oct 12 21:54:24.843 INFO  15548 CInterface::SQLFreeHandle: Freeing environment handle.
) Error from server: connect() failed: errno = 10060.
Oct 12 21:55:29.003 INFO  11720 Driver::LogVersions: SDK Version: 09.05.19.1033
Oct 12 21:55:29.004 INFO  11720 Driver::LogVersions: DSII Version: 2.1.16.1023
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: Database CHAR Encoding: UTF-8
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: Database WCHAR Encoding: UTF-8
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: ANSI CHAR Encoding: ibm-5348
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: Driver Manager WCHAR Encoding: UTF-16LE
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: Detected Driver Manager: Windows, Unknown
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: Locale name: en_US
Oct 12 21:55:29.004 INFO  11720 Driver::Initialize: Bitness: 64-bit
Oct 12 21:55:29.004 INFO  11720 CInterface::SQLAllocHandle: Allocating environment handle.
Oct 12 21:55:29.004 INFO  11720 Environment::SQLSetEnvAttr: Attribute: SQL_ATTR_ODBC_VERSION (200)
Oct 12 21:55:29.004 INFO  11720 EnvironmentAttributes::SetAttribute: Setting ODBC version to: 3
Oct 12 21:55:29.005 INFO  11720 CInterface::SQLAllocHandle: Allocating connection handle.
Oct 12 21:55:29.325 INFO  11720 CInterface::SQLFreeHandle: Freeing connection handle.
Oct 12 21:55:29.325 INFO  11720 CInterface::SQLFreeHandle: Freeing environment handle.
Oct 12 21:55:49.931 INFO  2644 Driver::LogVersions: SDK Version: 09.05.19.1033
